_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
92082,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,SIDE BACK DOOR,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,OPEN,BASEMENT,NO,0.0,12.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M3H,,YES,NORTH PARK HOLDINGS INC.,PRIVATE,SIDE BACK DOOR,4155767.0,NO,YES,NO,10  ELLISON AVE ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92083,NONE,,YES,YES,YES,YES,YES,Not Available,7.0,221.0,"MAR 8, 2016",,,,FULL REPLACEMENT - GAL GALAXY ,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1965.0,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,3.0,3.0,2.0,14.0,YES,YES,Surface Parking,M9V,,YES,TCH,TCHC,COMPACTOR ROOM,4155782.0,NO,NO,NO,101  KENDLETON DR ,YES,YES,1965.0,YES,PAID,1,DOUBLE PANE,1965.0,2016.0,2017.0,,,,,,,,
92084,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,22.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,1997.0,HOT WATER,NO,YES,NO,NO,YES,ALL HOURS,1ST FLOOR,YES,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,MUST BE LICENSED,YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,BACK OF BUILDINGS,4168798.0,NO,YES,NO,170  BERRY RD ,YES,YES,1956.0,,UNAVAILABLE,3,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
92085,NONE,,YES,YES,YES,NO,YES,Not Available,11.0,104.0,"JUL 15, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE BY GARBAGE AREA,ORIGINAL,1986.0,ELECTRIC,NO,YES,NO,YES,YES,7:30 AM - 11:00 P.M.,GROUND FLOOR,NO,3.0,1.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9W,NONE,YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,OUTSIDE BY GARBAGE AREA,4168988.0,NO,NO,NO,20  HUMBERLINE DR ,YES,YES,1986.0,YES,FREE,1,DOUBLE PANE,1986.0,,2017.0,,,,,,,,
92086,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 8 outdoor parking spots,4.0,21.0,,,,,,,YES,YES,Recycling bins,YES,NO,,REPLACED,2013.0,HOT WATER,YES,YES,NO,YES,YES,24/7,BSMT-EXTERIOR ENTRANCE,NO,0.0,0.0,0.0,6.0,NO,NO,"Carport , Surface Parking",M1N,,YES,GREENWIN CORP.,PRIVATE,REAR OF BUILDING,4152557.0,NO,YES,NO,2402  QUEEN ST E,NO,,,,UNAVAILABLE,20,DOUBLE PANE,1932.0,,2017.0,,,,,,,,
92087,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,21.0,,,,,,,NO,YES,Green Bin / Organics,YES,NO,EXTERIOR SHED,REPLACED,2017.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,11.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M1N,,YES,ALTIMA PROPERTIES,PRIVATE,SIDE OF BUILDING,4152561.0,NO,NO,NO,1165  KINGSTON RD ,YES,NO,1970.0,,UNAVAILABLE,20,SINGLE PANE,1920.0,,2017.0,,,,,,,,
92088,INDIVIDUAL UNITS,,YES,YES,YES,NO,NO,Not Available,3.0,18.0,,,,,,,YES,NO,Recycling bins,YES,NO,,REPLACED,2012.0,HOT WATER,NO,YES,NO,YES,YES,9:00 AM- 9:00 PM,BASEMENT,YES,0.0,11.0,0.0,4.0,YES,YES,Surface Parking,M1N,,YES,,PRIVATE,OUTSIDE ENCLOSED,4152569.0,NO,NO,NO,1711  KINGSTON RD ,NO,,,,UNAVAILABLE,20,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92089,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,65.0,"SEP 1, 2017",,,,NOT SURE,REPLACED,,NO,Green Bin / Organics,YES,NO,FRONT SIDEWALK,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,NOT KNOWN,"FLOORS 2, 3 AND 4",YES,0.0,0.0,1.0,12.0,NO,YES,Surface Parking,M1N,NONE,YES,POTOMAC CONSTRUCTION LIMITED,PRIVATE,FRONT SIDEWALK,4152578.0,NO,NO,NO,2  NORTH DR ,YES,YES,1964.0,YES,FREE,20,DOUBLE PANE,1964.0,2015.0,2017.0,,,,,,,,
92090,INDIVIDUAL UNITS,,YES,YES,YES,YES,NO,7 indoor parking spots and 0 outdoor parking spots,8.0,48.0,"NOV 28, 2017",,,,,REPLACED,NO,NO,Recycling bins,YES,NO,,REPLACED,2006.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,LOBBY,YES,0.0,0.0,1.0,6.0,YES,YES,"Underground Garage , Garage accessible thru buildg",M4V,,YES,AKELIUS CANADA LTD,PRIVATE,BETWEEN THE BUILDINGS,4153371.0,NO,YES,NO,265  RUSSELL HILL RD ,YES,YES,2006.0,YES,UNAVAILABLE,12,DOUBLE PANE,1960.0,2007.0,2017.0,,,,,,,,
92091,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 10 outdoor parking spots,10.0,59.0,"FEB 2, 2017",,,,ALL,REPLACED,YES,NO,Green Bin / Organics,YES,NO,COURTYARD,REPLACED,2012.0,HOT WATER,NO,YES,NO,YES,YES, 8 AM - 10 PM,FIRST FLOOR,YES,0.0,0.0,1.0,6.0,NO,YES,"Underground Garage , Surface Parking",M4V,,NO,RANEE MANAGEMENT,PRIVATE,COURTYARD,4153375.0,NO,YES,NO,268  POPLAR PLAINS RD ,NO,,,YES,UNAVAILABLE,12,DOUBLE PANE,1959.0,2012.0,2017.0,,,,,,,,
92092,CENTRAL AIR,"Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,24 indoor parking spots and 0 outdoor parking spots,10.0,103.0,"MAR 16, 2016",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,ORIGINAL,2004.0,HOT WATER,YES,YES,YES,YES,NO,,,YES,0.0,3.0,2.0,,NO,NO,"Underground Garage , Garage accessible thru buildg",M5V,,YES,VERTICA RESIDENT SERVICES,PRIVATE,OUTSIDE,4153379.0,NO,YES,NO,525  RICHMOND ST W,YES,YES,2004.0,YES,UNAVAILABLE,10,DOUBLE PANE,2003.0,,2017.0,,,,,,,,
92093,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,45.0,"JAN 20, 2017",,,,,REPLACED,NO,NO,Recycling bins,YES,NO,,REPLACED,2000.0,HOT WATER,NO,YES,NO,YES,YES,8AM TO 10PM,MAIN FLOOR,YES,0.0,0.0,1.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,,NO,WESTGATE APARTMENTS,PRIVATE,BACK OF BUILDING,4155275.0,NO,YES,NO,16  RIVERWOOD PKWY ,YES,YES,2000.0,YES,UNAVAILABLE,3,DOUBLE PANE,1960.0,2016.0,2017.0,,,,,,,,
92094,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,19.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BACK OF THE BUILDING,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,8:30 TO 9:00,BASEMENT FLOOR,YES,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,,YES,KACH INVESTMENT CORP,PRIVATE,BACK OF THE BUILDING,4155283.0,NO,YES,NO,10  KINGS POINT DR ,YES,YES,1970.0,,UNAVAILABLE,3,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
92095,NONE,,YES,NO,YES,YES,YES,Not Available,5.0,16.0,,,,,,,,NO,Green Bin / Organics,YES,NO,EAST BUILDING,ORIGINAL,2015.0,FORCED AIR GAS,NO,YES,NO,NO,YES,8AM - 10PM,BASEMENT,YES,1.0,15.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M8Y,,NO,,PRIVATE,EAST BUILDING,4155284.0,NO,YES,NO,8  KINGS POINT DR ,NO,,,,FREE,3,DOUBLE PANE,1953.0,,2018.0,,,,,,,,
92096,NONE,,YES,,YES,NO,NO,Not Available,3.0,16.0,,,,,,,NO,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,,HOT WATER,NO,NO,NO,NO,YES,8 A.M. TO 10 P.M.,BASEMENT,NO,,0.0,0.0,2.0,NO,NO,Surface Parking,M1N,,YES,,PRIVATE,BACK OF BUILDING,4155862.0,NO,NO,NO,46  GLEN EVEREST RD ,NO,,,,UNAVAILABLE,20,SINGLE PANE,1952.0,,2018.0,,,,,,,,
92097,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,36.0,"APR 2, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,NEXT TO GARBAGE BIN,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,6=11,GROUND FLOOR,YES,0.0,0.0,1.0,4.0,NO,YES,Surface Parking,M1R,,YES,,PRIVATE,NEXT TO GARBAGE BIN,4152656.0,NO,YES,NO,1827  VICTORIA PARK AVE ,YES,YES,1959.0,YES,FREE,21,DOUBLE PANE,1959.0,,2017.0,,,,,,,,
92098,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,94.0,"DEC 20, 2016",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,NO,SOUTH SIDE OF THE BUILDING,ORIGINAL,1971.0,HOT WATER,NO,YES,NO,YES,YES,8AM-10PM,MAIN FLOOR,NO,89.0,45.0,1.0,6.0,NO,YES,Surface Parking,M1K,,YES,GREENWIN CORP.,PRIVATE,SOUTH SIDE OF BUILDING,4152679.0,NO,YES,NO,2225  EGLINTON AVE E,YES,YES,1971.0,YES,UNAVAILABLE,20,DOUBLE PANE,1971.0,,2017.0,,,,,,,,
92099,NONE,,NO,NO,YES,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BACK YARD,REPLACED,2015.0,HOT WATER,NO,NO,NO,NO,YES,08:00 TO 10:00 PM,AT LOWER LEVEL,NO,0.0,14.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M6L,NO PET ALLOWED,NO,,PRIVATE,BACK YARD,4154308.0,NO,YES,NO,2425  KEELE ST ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
92100,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,10.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,2005.0,HOT WATER,NO,NO,NO,NO,YES,7:30 TO 10:00,BASEMENT,YES,0.0,11.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M6L,,NO,,PRIVATE,BACK OF BUILDING,4154309.0,NO,YES,NO,1252  LAWRENCE AVE W,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
92101,NONE,,NO,NO,YES,YES,NO,Not Available,5.0,42.0,"FEB 23, 2009",,,,COMPLETE REMODERNIZATION,REPLACED,,NO,Green Bin / Organics,YES,YES,INSIDE GARBAGE ROOM,REPLACED,2001.0,HOT WATER,YES,YES,NO,NO,YES,8 AM TO 10 PM,BASEMENT,YES,0.0,0.0,1.0,4.0,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M8X,,NO,,PRIVATE,INSIDE GARBAGE ROOM,4155297.0,NO,YES,NO,2645  BLOOR ST W,YES,NO,1960.0,YES,FREE,3,DOUBLE PANE,1960.0,2005.0,2017.0,,,,,,,,
92102,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,YES,YES,NO,Not Available,31.0,416.0,"SEP 26, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,IN BACK OF BUILDING,REPLACED,2016.0,FORCED AIR GAS,YES,YES,YES,NO,YES,8AM-10PM,B1 LEVEL OF PROPERTY,YES,2.0,3.0,5.0,43.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",M9A,,YES,NORTH EDGE PROPERTIES LTD.,PRIVATE,IN BACK OR BUILDING,4155307.0,NO,YES,NO,25  MABELLE AVE ,YES,YES,1964.0,YES,FREE,3,DOUBLE PANE,1974.0,,2017.0,,,,,,,,
92103,NONE,,YES,NO,YES,NO,NO,12 indoor parking spots and 0 outdoor parking spots,4.0,25.0,,,,,,,,NO,Green Bin / Organics,YES,NO,EAST SIDE OF BUILDING,REPLACED,1984.0,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,BASEMENT,NO,0.0,12.0,0.0,4.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9A,,YES,,PRIVATE,EAST SIDE OF BUILDING,4155318.0,NO,YES,NO,18  ANGLESEY BLVD ,NO,,,,UNAVAILABLE,2,DOUBLE PANE,1943.0,,2017.0,,,,,,,,
92104,NONE,,YES,YES,YES,NO,YES,Not Available,4.0,14.0,,,,,,,,NO,Unknown,YES,NO,,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,,YES,14.0,5.0,0.0,2.0,NO,YES,Surface Parking,M9A,,YES,REALSTAR,PRIVATE,,4155325.0,NO,YES,NO,3  BEXHILL CRT ,NO,,,,PAID,2,DOUBLE PANE,1959.0,,2017.0,,,,,,,,
92105,NONE,,NO,YES,YES,YES,YES,Not Available,4.0,29.0,,,,,,,,NO,Recycling bins,YES,NO,,ORIGINAL,1955.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M9A,,YES,THE ELIA CORPORATION,PRIVATE,REAR OF BUILDING,4155328.0,NO,YES,NO,291  THE KINGSWAY  ,NO,,,,UNAVAILABLE,2,SINGLE PANE,1955.0,,2018.0,,,,,,,,
92106,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,7.0,160.0,"AUG 4, 2017",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1992.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,2.0,4.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6B,,YES,,TCHC,REAR OF BUILDING,4155914.0,NO,NO,NO,3036  BATHURST ST ,YES,YES,1992.0,YES,PAID,8,DOUBLE PANE,1992.0,2017.0,2017.0,,,,,,,,
92107,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,Not Available,22.0,271.0,"SEP 15, 2017",,BASEMENT LEVEL ,,FULL MODERNIZATION ,REPLACED,YES,NO,Green Bin / Organics,YES,YES,"P1 GARAGE, NORTH AND SOUTH END",REPLACED,2007.0,ELECTRIC,YES,YES,YES,YES,YES,10AM TO 10PM,MAIN LEVEL,YES,0.0,4.0,3.0,27.0,NO,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking , Parking Deck",M9P,NO RESTRICTIONS,YES,,PRIVATE,"P1 GARAGE, NORTH AND SOUTH END",4155918.0,NO,NO,NO,2085-2101  ISLINGTON AVE ,YES,YES,1970.0,YES,FREE,1,DOUBLE PANE,1970.0,2012.0,2017.0,,,,,,,,
92108,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,14.0,,,,,,,,NO,Green Bin / Organics,YES,NO,LANEWAY,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,8A-10P,BASEMENT,YES,0.0,0.0,0.0,2.0,NO,NO,"Carport , Surface Parking",M9A,25 POUNDS OR LESS,YES,,PRIVATE,LANEWAY,4155924.0,NO,YES,NO,14  BEXHILL CRT ,NO,,,,PAID,2,DOUBLE PANE,1952.0,,2017.0,,,,,,,,
92109,NONE,,YES,YES,YES,YES,YES,25 indoor parking spots and 15 outdoor parking spots,4.0,59.0,"JUN 15, 2017",,,,FULL MODERNIZATION,REPLACED,,YES,Green Bin / Organics,YES,NO,UNDERGROUNG GARAGE,REPLACED,2007.0,HOT WATER,YES,YES,NO,NO,YES,24HRS,BASEMENT,YES,59.0,0.0,1.0,6.0,YES,NO,"Underground Garage , Garage accessible thru buildg",M4W,SMALL PETS,YES,,PRIVATE,UNDERGROUNG GARAGE,4155959.0,NO,YES,NO,11  ELM AVE ,YES,YES,1965.0,YES,UNAVAILABLE,11,DOUBLE PANE,1957.0,2014.0,2017.0,,,,,,,,
92110,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,28.0,"MAY 1, 2014",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,,REPLACED,2010.0,FORCED AIR GAS,NO,YES,YES,NO,YES,9:00 AM TO 9:00 PM,,NO,0.0,2.0,0.0,14.0,NO,YES,"Ground Level Garage , Surface Parking",M1B,NO EXOTIC PETS,YES,,SOCIAL HOUSING,OUTDOOR EITHER END OF COMPLEX,4155977.0,NO,NO,NO,37  DURNFORD RD ,YES,YES,1992.0,YES,FREE,25,DOUBLE PANE,1992.0,,2018.0,,,,,,,,
92111,CENTRAL AIR,"Outdoor pool , Indoor exercise room",YES,YES,YES,YES,YES,30 indoor parking spots and 0 outdoor parking spots,24.0,168.0,"JUN 9, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,BASEMENT - B1,REPLACED,2003.0,HOT WATER,YES,YES,YES,NO,YES,24 HRS,BASEMENT - B1,YES,3.0,0.0,3.0,14.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M5P,,YES,CAPREIT,PRIVATE,BASEMENT - B1,4153342.0,NO,YES,NO,355  ST CLAIR AVE W,YES,YES,1969.0,YES,FREE,12,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
92112,INDIVIDUAL UNITS,,YES,YES,YES,NO,NO,Not Available,3.0,29.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,24/7,GROUND LEVEL,YES,0.0,0.0,0.0,2.0,YES,YES,"Underground Garage , Surface Parking",M6G,,YES,AKELIUS CANADA LTD,PRIVATE,SIDE OF THE BUILDING,4153353.0,NO,YES,NO,55  HENDRICK AVE ,NO,NO,,,UNAVAILABLE,12,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
92113,NONE,,YES,NO,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,6.0,60.0,"SEP 16, 2014",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,,REPLACED,2016.0,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,BASEMENT LEVEL,YES,0.0,0.0,1.0,10.0,NO,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",M5P,,YES,"ATLANTIS REALTY SERVICES, INC.",PRIVATE,,4153896.0,NO,YES,NO,80  MONTCLAIR AVE ,YES,YES,1970.0,YES,FREE,12,DOUBLE PANE,1970.0,,2017.0,,,,,,,,
92114,INDIVIDUAL UNITS,,YES,YES,YES,NO,NO,Not Available,4.0,15.0,,,,,,,NO,NO,Recycling bins,YES,NO,NO,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Garage accessible thru buildg",M4V,,YES,,PRIVATE,BEHING THE BUILDING,4153901.0,NO,YES,NO,310  LONSDALE RD ,NO,NO,,,UNAVAILABLE,12,DOUBLE PANE,1927.0,,2017.0,,,,,,,,
92115,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,32.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,WEST SIDE OF BUILDING,REPLACED,2009.0,HOT WATER,NO,YES,NO,YES,YES,8AM - 10PM,BASEMENT,NO,0.0,0.0,0.0,4.0,NO,YES,,M4V,,YES,,PRIVATE,WEST SIDE OF BUILDING,4153904.0,NO,YES,NO,320  LONSDALE RD ,NO,,,,UNAVAILABLE,12,DOUBLE PANE,1923.0,,2017.0,,,,,,,,
92116,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,13.0,,,,,,,,YES,Green Bin / Organics,YES,NO,ON THE SIDE OF BUILDING,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,0.0,0.0,0.0,4.0,YES,YES,,M4V,,YES,ORIOLE COURT MANAGEMENT,PRIVATE,ON THE SIDE OF BUILDING,4153917.0,NO,YES,NO,58  ORIOLE GDNS ,NO,,,,UNAVAILABLE,12,DOUBLE PANE,1918.0,,2017.0,,,,,,,,
92117,NONE,Indoor recreation room,YES,NO,YES,NO,NO,Not Available,3.0,18.0,,,,,,ORIGINAL,NO,YES,Green Bin / Organics,YES,NO,SIDE OF BUILDING,REPLACED,2021.0,HOT WATER,NO,NO,NO,NO,YES,8AM TO 8PM,BASEMENT,NO,0.0,0.0,0.0,4.0,YES,YES,Surface Parking,M4B,NONE,YES,STONEGATE PROPERTY MANAGEMENT,PRIVATE,SIDE OF BUILDING,4848750.0,NO,NO,NO,996  O'CONNOR DR ,NO,YES,1957.0,,BOTH,19,DOUBLE PANE,1954.0,,2021.0,,,,,,,,
92118,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,44.0,"JAN 25, 2018",,,NO,ALL,REPLACED,,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,1990.0,HOT WATER,NO,YES,NO,NO,YES,8 A.M. TO 10 P.M.,1ST FLOOR,YES,0.0,,1.0,6.0,NO,NO,"Ground Level Garage , Surface Parking",M8Y,,YES,GILINDO MARCOCCHIO LIMITED,PRIVATE,OUTSIDE,4356717.0,NO,YES,NO,177  STEPHEN DR ,YES,YES,1954.0,YES,UNAVAILABLE,3,DOUBLE PANE,1954.0,2018.0,2018.0,,,,,,,,
92119,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area",YES,YES,YES,YES,YES,22 indoor parking spots and  outdoor parking spots,27.0,301.0,,SPLASH PARK,GYM AND DANCE ROOM,"SITTING AREA, BBQ, FIRE PIT",,ORIGINAL,YES,,Green Bin / Organics,YES,YES,GARBAGE ROOM,ORIGINAL,2019.0,FORCED AIR GAS,YES,YES,YES,YES,NO,,,YES,301.0,240.0,3.0,,YES,YES,"Underground Garage , Garage accessible thru buildg , Carport",M2J,,YES,RHAPSODY PROPERTY MANAGEMENT,PRIVATE,GARBAGE ROOM,4697372.0,YES,YES,YES,55  SMOOTH ROSE CRT ,YES,YES,2019.0,,BOTH,17,DOUBLE PANE,2019.0,,2019.0,,,,,,,,
92120,NONE,,,,NO,NO,NO,0 indoor parking spots and 4 outdoor parking spots,3.0,18.0,,,,,,,,NO,Recycling bins,NO,NO,,REPLACED,2017.0,HOT WATER,NO,YES,NO,NO,NO,,,NO,0.0,0.0,0.0,,NO,YES,Surface Parking,M6J,AS PER THE LEASE AGREEMENT,YES,,PRIVATE,REAR OF THE BUILDING,4327919.0,NO,YES,NO,382  DOVERCOURT RD ,NO,,,,UNAVAILABLE,9,DOUBLE PANE,1960.0,,2018.0,,,,,,,,
92121,NONE,,,,NO,NO,NO,Not Available,3.0,20.0,,,,,,,,NO,Recycling bins,NO,NO,,ORIGINAL,,HOT WATER,NO,YES,NO,NO,YES,8 A.M. - 10 P.M.,GROUND FLOOR,NO,,,0.0,,NO,YES,,M6J,AS PER LEASE AGREEMENT,YES,,PRIVATE,REAR OF THE BUILDING,4327922.0,NO,YES,NO,394  DOVERCOURT RD ,NO,,,,UNAVAILABLE,9,DOUBLE PANE,1924.0,,2018.0,,,,,,,,
92122,NONE,,YES,YES,YES,NO,YES,Not Available,3.0,36.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2011.0,HOT WATER,YES,YES,NO,YES,YES,,BASEMENT,YES,,25.0,0.0,8.0,NO,YES,Surface Parking,M4R,DOGS AND CATS,YES,D S MANAGEMENT,PRIVATE,OUTSIDE AND IN LAUNDRY BIN,4329455.0,NO,YES,NO,485  DUPLEX AVE ,NO,,,,UNAVAILABLE,8,DOUBLE PANE,1900.0,,2018.0,,,,,,,,
92123,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,11.0,,,,,,,,NO,Green Bin / Organics,YES,NO,DESIGNATED GARBAGE AREA,REPLACED,1999.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,GROUND FLOOR,YES,0.0,0.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M3H,NO,YES,DMS PROPERTY MANAGEMENT LTD,PRIVATE,DESIGNATED GARBAGE AREA,4327367.0,NO,YES,NO,12  ROSSEAU RD ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1949.0,,2018.0,,,,,,,,
